Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Valor bruto;Valor por m2;Valor bruto por m2;Tipo agrupado
Casa;San Luis;4;2;1;550;8000.0;0.0;8000.0;14.55;14.55;Casa
Casa;Jesús María;2;1;2;212;6500.0;1363.0;8150.0;30.66;38.44;Casa
Casa;San Bartolo;1;0;0;65;800.0;0.0;800.0;12.31;12.31;Casa
Casa;Lince;2;0;0;70;1100.0;0.0;1100.0;15.71;15.71;Casa
Casa;Jesús María;4;5;3;222;5800.0;638.0;6792.0;26.13;30.59;Casa
Casa;Lince;3;1;0;100;1500.0;0.0;1500.0;15.0;15.0;Casa
Casa;Jesús María;4;2;4;900;14000.0;1170.0;15170.0;15.56;16.86;Casa
Casa;Barranco;2;0;0;65;800.0;0.0;800.0;12.31;12.31;Casa
Casa;Ancón;2;2;0;120;1580.0;0.0;1580.0;13.17;13.17;Casa
Casa;Ventanilla;2;0;0;52;1500.0;0.0;1500.0;28.85;28.85;Casa
Casa;Santa Anita;2;1;0;90;1800.0;0.0;1800.0;20.0;20.0;Casa
Casa;Lince;2;1;0;80;2000.0;0.0;2000.0;25.0;25.0;Casa
Casa;Pachacámac;2;3;0;142;1600.0;0.0;1600.0;11.27;11.27;Casa
Casa;Villa María del Triunfo;3;0;1;100;2800.0;380.0;3180.0;28.0;31.8;Casa
Casa;Punta Hermosa;2;0;0;46;1850.0;179.0;2058.0;40.22;44.74;Casa
Casa;Lince;4;1;4;100;1600.0;0.0;1600.0;16.0;16.0;Casa
Casa;Ventanilla;3;0;0;100;3000.0;0.0;3219.0;30.0;32.19;Casa
Casa;Lince;2;0;0;65;1500.0;0.0;1500.0;23.08;23.08;Casa
Casa;Breña;3;2;1;234;10000.0;0.0;10305.0;42.74;44.04;Casa
Casa;Lince;2;0;0;70;1500.0;0.0;1500.0;21.43;21.43;Casa
Casa;Santa María del Mar;4;3;0;120;1500.0;0.0;1500.0;12.5;12.5;Casa
Casa;Callao;5;0;5;1000;20000.0;0.0;20000.0;20.0;20.0;Casa
Casa;San Luis;3;3;1;130;3800.0;0.0;3800.0;29.23;29.23;Casa
Casa;Ate;6;3;4;273;22000.0;2300.0;49300.0;80.59;180.59;Casa
Casa;Pucusana;3;0;3;350;6500.0;1900.0;18400.0;18.57;52.57;Casa
Casa;Ancón;2;1;0;80;1100.0;0.0;1112.0;13.75;13.9;Casa
Casa;Villa El Salvador;4;2;2;270;4000.0;350.0;4350.0;14.81;16.11;Casa
Casa;Carmen de La Legua;9;8;4;870;15000.0;770.0;16250.0;17.24;18.68;Casa
Casa;Santiago de Surco;4;0;4;491;19900.0;0.0;25900.0;40.53;52.75;Casa
